id,title,artist,album,img,rtime
3g1ekuXAKuFuEfarqTIxIH,Sticky Rice,Santino Surfers,Santino Surfers,https://i.scdn.co/image/ab67616d00001e026ecd0ed56bee548e2b3d5d84,250000
1UwD1ovEx84rBdpJRJt99O,Try Me,Starpoint,Wanting You,https://i.scdn.co/image/ab67616d00001e028e4c8baae1be1ba1456dbe30,304133
3b2DShkYT32XIVmybU1xmf,Can't Give You Up,Midnight Star,Standing Together,https://i.scdn.co/image/ab67616d00001e0216ea280507fefc50f34e8d93,253693
2vMMyG4iw5OppGOh23kXIe,Action Speaks Louder Than Words,Chocolate Milk,Action Speaks Louder Than Words,https://i.scdn.co/image/ab67616d00001e025217c39f9c0eb9b5df0b0b53,211186
1rVP30BW6y7uA8iJrp7wl1,It'll All Come Around,Patsy Gallant,Patsy!,https://i.scdn.co/image/ab67616d00001e02a47fab3c141cf6b9129cacad,263400
1uzaFntXR5Q9K99LlduyhP,Holding On to Love,Rose Royce,Music Magic,https://i.scdn.co/image/ab67616d00001e02323e538b7b98da975161a4de,200106
18iyA5BPmU3Htj2YZnMHdo,더위,이소라,이소라 1집,https://i.scdn.co/image/ab67616d00001e024a60b99b94289a435a30748c,277760
0beJBpWGM17KeMTI5v1SBS,숙녀예찬,morning,아침 1집,https://i.scdn.co/image/ab67616d00001e021ef935cbf367450803febfcc,252506
7i6h8cg9E1Z7Dyy48gj2kw,Baby Come Back,Lisa Stansfield,Lisa Stansfield (Deluxe),https://i.scdn.co/image/ab67616d00001e0296a6b96a548b55d60d5c540e,214373
2dbx9A36sJQXrBWQtI4Fsl,All Over,State Cows,Challenges,https://i.scdn.co/image/ab67616d00001e022eae732b55a1fbb615b17abc,250542
64KIbKLoCuMATvUM9laI91,Touch the Star,"Soulpersona, Princess Freesia",Extended Pleasure,https://i.scdn.co/image/ab67616d00001e029e9c7ed20407df5cc8977d56,338472
67t5MpxDL4XREv387RPyYT,The Dealmaker,Daniel Andersson,Days in L.A.,https://i.scdn.co/image/ab67616d00001e027177d767047b2d792fd7cc4a,328440
0juMDnoo3u3uDJ32wjK2BF,Hold Me Up (Thank You),Khruangbin,A LA SALA,https://i.scdn.co/image/ab67616d00001e023854b553506134a1421ed58c,229437
53v0OZcSR2fGQyttm262hj,Christmalo.win,서태지,Quiet Night,https://i.scdn.co/image/ab67616d00001e022e20013ea25a34e1bfc4460e,231280
